parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,t_DC_model_s,t_DCAC_model_s,delta_t_model_s,delta_t_model_min,t_DC_geom_s,t_DCAC_geom_s,delta_t_geom_s,delta_t_geom_min,delta_t_resid_s,delta_t_resid_min,q_window_lo_Ah,q_window_hi_Ah,q_margin_Ah,dt_geom_resolution_s
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.8201353910143132,0.3640270782028626,0.4140270782028626,4368.324938434352,3853.657775020231,514.6671634141208,8.577786056902012,4368.324938434352,3853.626496591954,514.6984418423976,8.578307364039961,-0.031278428276891646,-0.0005213071379481941,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.8552401949125645,0.37104803898251293,0.4210480389825129,4452.576467790155,4308.113968042447,144.46249974770853,2.4077083291284755,4452.576467790155,4308.113000590537,144.4634671996182,2.40772445332697,-0.0009674519096734002,-1.612419849455667e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.8903449988108159,0.3780689997621632,0.42806899976216317,4536.827997145958,4334.482887164202,202.34510998175574,3.372418499695929,4536.827997145958,4334.481720380331,202.3462767656265,3.372437946093775,-0.0011667838707580813,-1.9446397845968023e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.9254498027090672,0.38508996054181344,0.4350899605418134,4621.079526501761,4359.897852312729,261.1816741890325,4.353027903150542,4621.079526501761,4359.895730910483,261.1837955912788,4.353063259854647,-0.0021214022463027504,-3.535670410504584e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.9605546066073185,0.3921109213214637,0.4421109213214637,4705.331055857564,4385.347925463659,319.9831303939054,5.333052173231757,4705.331055857564,4385.344627285954,319.9864285716103,5.333107142860172,-0.003298177704891714,-5.49696284148619e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.9956594105055698,0.39913188210111394,0.44913188210111393,4789.582585213368,4411.834041929847,377.7485432835201,6.295809054725336,4789.582585213368,4411.830265600502,377.7523196128659,6.295871993547765,-0.0037763293457828695,-6.293882242971449e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.030764214403821,0.4061528428807642,0.4561528428807642,4873.83411456917,4440.774044939066,433.0600696301044,7.217667827168407,4873.83411456917,4440.767298881468,433.0668156877018,7.217780261461697,-0.0067460575974109815,-0.00011243429329018302,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.065869018302072,0.4131738036604144,0.4631738036604144,4958.085643924973,4475.018174504106,483.0674694208665,8.051124490347775,4958.085643924973,4475.007971034106,483.0776728908668,8.051294548181113,-0.01020347000030597,-0.00017005783333843283,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.1009738222003236,0.4201947644400647,0.4701947644400647,5042.337173280776,4525.075386863999,517.2617864167778,8.621029773612964,5042.337173280776,4525.054673076131,517.2825002046457,8.62137500341076,-0.020713787867862266,-0.00034522979779770443,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.1360786260985747,0.42721572521971496,0.47721572521971495,5126.588702636579,4997.882045748841,128.70665688773806,2.1451109481289676,5126.588702636579,4997.881256731191,128.70744590538834,2.145124098423139,-0.0007890176502769464,-1.315029417128244e-05,0.1,4.2774716638919035,0.1,0.25
