t_s,V_terminal_V,I_py_A,I_charge_A,Q_net_Ah,t_rel_s,V_fit_V,qfrac_target
10145.86535839126,4.03711655383486,0.0,-0.0,3.8314589937762205,650.3921926721214,4.03709002778804,0.85
10145.931901489033,4.037116315020377,0.0,-0.0,3.8314589937762205,650.4587357698947,4.037089802626511,0.85
10146.181442908182,4.037115420147526,0.0,-0.0,3.8314589937762205,650.7082771890437,4.037088958729065,0.85
10146.430984327331,4.0371145259501,0.0,-0.0,3.8314589937762205,650.9578186081926,4.037088115580395,0.85
10146.930067165631,4.037112739193876,0.0,-0.0,3.8314589937762205,651.4569014464923,4.037086431526726,0.85
10147.928232842229,4.037109173911371,0.0,-0.0,3.8314589937762205,652.45506712309,4.037083072375508,0.85
10148.011412024283,4.037108877257827,0.0,-0.0,3.8314589937762205,652.5382463051446,4.037082792988592,0.85
10148.258873932898,4.037107995405433,0.0,-0.0,3.8314589937762205,652.7857082137598,4.037081962288253,0.85
10148.506335841514,4.037107114213048,0.0,-0.0,3.8314589937762205,653.0331701223749,4.037081132318843,0.85
10149.001259658742,4.037105353428817,0.0,-0.0,3.8314589937762205,653.5280939396034,4.037079474570229,0.85
10149.9911072932,4.037101839901098,0.0,-0.0,3.8314589937762205,654.5179415740604,4.037076167815865,0.85
10150.090922559535,4.037101486139909,0.0,-0.0,3.8314589937762205,654.6177568403964,4.037075835011794,0.85
10150.336304957615,4.037100617177998,0.0,-0.0,3.8314589937762205,654.8631392384759,4.037075017359927,0.85
10150.581687355694,4.0370997488607205,0.0,-0.0,3.8314589937762205,655.1085216365555,4.037074200421462,0.85
10151.072452151853,4.037098013789813,0.0,-0.0,3.8314589937762205,655.5992864327145,4.037072568682252,0.85
10152.05398174417,4.037094551502561,0.0,-0.0,3.8314589937762205,656.5808160250308,4.0370693137373115,0.85
10152.170433094785,4.037094141358262,0.0,-0.0,3.8314589937762205,656.6972673756463,4.037068928315372,0.85
10152.413735982329,4.037093285158159,0.0,-0.0,3.8314589937762205,656.9405702631902,4.037068123564813,0.85
10152.657038869873,4.037092429588098,0.0,-0.0,3.8314589937762205,657.1838731507341,4.037067319510453,0.85
10153.14364464496,4.037090719973966,0.0,-0.0,3.8314589937762205,657.670478925822,4.0370657134879195,0.85
10154.116856195136,4.037087308417995,0.0,-0.0,3.8314589937762205,658.6436904759976,4.0370625097707675,0.85
10154.249943630037,4.0370868426075965,0.0,-0.0,3.8314589937762205,658.7767779108981,4.0370620725213895,0.85
10154.491167007045,4.037085999042167,0.0,-0.0,3.8314589937762205,659.0180012879064,4.037061280526437,0.85
10154.732390384053,4.037085156091305,0.0,-0.0,3.8314589937762205,659.2592246649147,4.037060489210794,0.85
10155.21483713807,4.037083471681571,0.0,-0.0,3.8314589937762205,659.7416714189312,4.037058908615108,0.85
10156.179730646105,4.037080110351857,0.0,-0.0,3.8314589937762205,660.7065649269662,4.03705575554985,0.85
10156.329454165287,4.037079589585277,0.0,-0.0,3.8314589937762205,660.856288446148,4.037055267254695,0.85
10156.56859803176,4.037078758527766,0.0,-0.0,3.8314589937762205,661.0954323126207,4.037054487871092,0.85
10156.807741898232,4.037077928070452,0.0,-0.0,3.8314589937762205,661.3345761790933,4.037053709150221,0.85
