reference_protocol,protocol,Q_net_Ah,t_ref_min,t_protocol_min,Delta_t_Q_min
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.583193427346302,93.13877192181498,93.14739452772591,-0.008622605910929337
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.584823904614424,93.23469332182796,93.25676436001,-0.02207103818203393
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5864543818825456,93.3306146378534,93.36554548773464,-0.03493084988123485
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5880848591506675,93.42653642145326,93.40504623162218,0.021490189831084194
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5897153364187893,93.52245800282554,93.50851348911701,0.013944513708537443
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5913458136869112,93.61837931590337,93.61693376949175,0.0014455464116167605
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5929762909550331,93.7143005714072,93.72605333916268,-0.011752767755481841
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5946067682231548,93.81022145051628,93.83513111888485,-0.024909668368565008
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5962372454912768,93.90614260431425,93.94432332004732,-0.0381807157330627
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5978677227593985,94.00206435258876,93.98283606141865,0.01922829117010849
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.5994982000275204,94.09798627288006,94.08679417097747,0.011192101902594231
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.6011286772956421,94.19390795934665,94.19565198059436,-0.001744021247716887
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.602759154563764,94.28982897076865,94.30451512919636,-0.014686158427707596
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.604389631831886,94.38575018596525,94.41391684078766,-0.02816665482241376
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.6060201091000077,94.48167133156795,94.52340257096787,-0.041731239399922515
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.6076505863681296,94.5775920503753,94.5581430875848,0.019448962790505675
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.6092810636362513,94.67351288341153,94.66568517476084,0.007827708650694376
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.6109115409043733,94.76943325737392,94.77384629667965,-0.004413039305731559
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.612542018172495,94.86535371773407,94.88326162857574,-0.017907910841671537
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.614172495440617,94.9612749038456,94.99281133016724,-0.03153642632163667
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.6158029727087386,95.05719566031209,95.1006531648312,-0.04345750451911101
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.6174334499768606,95.15311634135759,95.1362912102506,0.016825131106983804
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.6190639272449825,95.24903699276526,95.24392482915208,0.00511216361317679
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.6206944045131042,95.34495744716257,95.35257330783442,-0.0076158606718479405
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.6223248817812261,95.44087799168473,95.46217292134737,-0.02129492966264479
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.6239553590493478,95.53679843907014,95.57133004511365,-0.03453160604351524
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.6255858363174698,95.63271937209727,95.61458619481382,0.018133177283445434
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.6272163135855915,95.72864035597745,95.71492923936198,0.0137111166154682
