protocol_pair,Q_Ah,dt_raw_s,dt_geom_prescribed_s,dt_resid_prescribed_s,dt_geom_fitted_s,dt_resid_fitted_s,fit_status,I0_fit_A,A_fit_A,f_meta_Hz,f_fit_Hz,f_fit_rel_error_ppm,phi_fit_rad,fit_rmse_A
0.3C DC vs 0.3C+0.7C 0.1tau,0.5900000000000001,4.550838315647525,2.3632259337023243,2.1876123819452005,2.012580374466779,2.5382579411807455,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.6000000000000001,4.758594381324656,2.6461458322974067,2.112448549027249,2.037921057757103,2.720673323567553,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.6100000000000001,4.841783646955264,2.9268470721290214,1.9149365748262424,2.0201524907961357,2.8216311561591283,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.6200000000000001,1.0643338090449106,3.203405210806068,-2.139071401761157,1.9344952876044772,-0.8701614785595666,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.63,1.3447294876323213,3.473367022734692,-2.1286375351023707,1.8366892932949668,-0.4919598056626455,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.64,-0.7947406169159876,2.5012523121822596,-3.2959929290982473,1.8902836549164022,-2.68502427183239,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.65,-0.48083220528769743,-1.1914356514666906,0.7106034461789932,1.81246670649125,-2.2932989117789475,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.66,-0.1640112862701244,-0.9390177039636,0.7750064176934757,1.7650840972651167,-1.9290953835352411,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.67,0.14900461942443144,-0.6739858823093527,0.8229905017337842,1.798802785042426,-1.6497981656179945,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.68,0.45167670107093727,-0.4004652089447518,0.8521419100156891,1.8481083577421487,-1.3964316566712114,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.6900000000000001,0.7345116073825011,-0.1214125647115906,0.8559241720940918,1.9115303404705628,-1.1770187330880617,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.7000000000000001,0.9897190441456587,0.1609411978993193,0.8287778462463393,1.987639170211878,-0.9979201260662194,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.7100000000000001,1.1885439358261465,0.4448124882542288,0.7437314475719177,2.09729467004081,-0.9087507342146637,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.7200000000000001,1.2639045136538698,0.7286768681647118,0.535227645489158,2.2090900970174516,-0.9451855833635818,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.7300000000000001,-2.490607498519239,1.0111307817014676,-3.5017382802207067,2.3217271358635116,-4.812334634382751,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.7400000000000001,-2.2068657931076814,1.290778007366498,-3.497643800474179,2.4339121765851814,-4.640777969692863,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.7500000000000001,-1.9075832878861547,1.5661231294698157,-3.47370641735597,2.5443488985497424,-4.451932186435897,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.76,-1.5991975420374729,1.8354568365707564,-3.4346543786082293,2.6359236286643863,-4.235121170701859,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.77,-1.2846981561451685,2.096716635001485,-3.3814147911466534,2.7036232381701666,-3.988321394315335,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.78,-0.9696904518609699,2.347301333201358,-3.316991785062328,2.7576508612296493,-3.7273413130906192,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.79,-0.6545802190148606,2.5024880057549126,-3.1570682247697732,2.796519299087322,-3.4510995181021826,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.8,-0.34084568654452596,2.5244297421363626,-2.8652754286808886,2.7878373803841896,-3.1286830669287156,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.81,-0.03201092571271147,2.2558725415806293,-2.287883467293341,2.7152100776183943,-2.7472210033311057,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.8200000000000001,0.2697417270310325,-1.0619860160054486,1.3317277430364811,2.6271976633197482,-2.3574559362887157,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.8300000000000001,0.5611694416488717,-0.8028055292993486,1.3639749709482205,2.5362380781161846,-1.975068636467313,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.8400000000000001,0.8340327125279146,-0.5344198904326731,1.3684526029605877,2.460678771496987,-1.6266460589690723,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.8500000000000001,1.0866080645482725,-0.2597733907359725,1.346381455284245,2.4026537566542174,-1.316045692105945,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.8600000000000001,1.2969052579160234,0.0188776166737625,1.2780276412422609,2.4380116167640153,-1.141106358847992,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
