branch_id,search_term,variable_key
double_layer_differential,overpotential,Battery negative particle concentration overpotential [V]
double_layer_differential,overpotential,Battery particle concentration overpotential [V]
double_layer_differential,overpotential,Battery positive particle concentration overpotential [V]
double_layer_differential,overpotential,Contact overpotential [V]
double_layer_differential,overpotential,Negative electrode SEI film overpotential [V]
double_layer_differential,overpotential,Negative electrode lithium plating reaction overpotential [V]
double_layer_differential,overpotential,Negative electrode reaction overpotential [V]
double_layer_differential,overpotential,Negative particle concentration overpotential [V]
double_layer_differential,overpotential,Particle concentration overpotential [V]
double_layer_differential,overpotential,Positive electrode SEI film overpotential [V]
double_layer_differential,overpotential,Positive electrode lithium plating reaction overpotential [V]
double_layer_differential,overpotential,Positive electrode reaction overpotential [V]
double_layer_differential,overpotential,Positive particle concentration overpotential [V]
double_layer_differential,overpotential,X-averaged SEI film overpotential [V]
double_layer_differential,overpotential,X-averaged battery concentration overpotential [V]
double_layer_differential,overpotential,X-averaged battery negative reaction overpotential [V]
double_layer_differential,overpotential,X-averaged battery positive reaction overpotential [V]
double_layer_differential,overpotential,X-averaged battery reaction overpotential [V]
double_layer_differential,overpotential,X-averaged concentration overpotential [V]
double_layer_differential,overpotential,X-averaged electrolyte overpotential [V]
double_layer_differential,overpotential,X-averaged negative electrode SEI film overpotential [V]
double_layer_differential,overpotential,X-averaged negative electrode lithium plating reaction overpotential [V]
double_layer_differential,overpotential,X-averaged negative electrode reaction overpotential [V]
double_layer_differential,overpotential,X-averaged positive electrode SEI film overpotential [V]
double_layer_differential,overpotential,X-averaged positive electrode lithium plating reaction overpotential [V]
double_layer_differential,overpotential,X-averaged positive electrode reaction overpotential [V]
double_layer_differential,overpotential,X-averaged reaction overpotential [V]
surface_form_algebraic,plating,Loss of capacity to negative lithium plating [A.h]
surface_form_algebraic,plating,Loss of capacity to positive lithium plating [A.h]
surface_form_algebraic,plating,Loss of lithium to negative lithium plating [mol]
surface_form_algebraic,plating,Loss of lithium to positive lithium plating [mol]
surface_form_algebraic,plating,Negative electrode lithium plating interfacial current density [A.m-2]
surface_form_algebraic,plating,Negative electrode lithium plating reaction overpotential [V]
surface_form_algebraic,plating,Negative electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_algebraic,plating,Negative lithium plating concentration [mol.m-3]
surface_form_algebraic,plating,Negative lithium plating thickness [m]
surface_form_algebraic,plating,Positive electrode lithium plating interfacial current density [A.m-2]
surface_form_algebraic,plating,Positive electrode lithium plating reaction overpotential [V]
surface_form_algebraic,plating,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_algebraic,plating,Positive lithium plating concentration [mol.m-3]
surface_form_algebraic,plating,Positive lithium plating thickness [m]
surface_form_algebraic,plating,Volume-averaged negative lithium plating concentration [mol.m-3]
surface_form_algebraic,plating,Volume-averaged negative lithium plating thickness [m]
surface_form_algebraic,plating,Volume-averaged positive lithium plating concentration [mol.m-3]
surface_form_algebraic,plating,Volume-averaged positive lithium plating thickness [m]
surface_form_algebraic,plating,X-averaged negative electrode lithium plating interfacial current density [A.m-2]
surface_form_algebraic,plating,X-averaged negative electrode lithium plating reaction overpotential [V]
surface_form_algebraic,plating,X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_algebraic,plating,X-averaged negative lithium plating concentration [mol.m-3]
surface_form_algebraic,plating,X-averaged negative lithium plating thickness [m]
surface_form_algebraic,plating,X-averaged positive electrode lithium plating interfacial current density [A.m-2]
surface_form_algebraic,plating,X-averaged positive electrode lithium plating reaction overpotential [V]
surface_form_algebraic,plating,X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_algebraic,plating,X-averaged positive lithium plating concentration [mol.m-3]
surface_form_algebraic,plating,X-averaged positive lithium plating thickness [m]
surface_form_algebraic,sei,Loss of capacity to negative SEI [A.h]
surface_form_algebraic,sei,Loss of capacity to negative SEI on cracks [A.h]
surface_form_algebraic,sei,Loss of capacity to positive SEI [A.h]
surface_form_algebraic,sei,Loss of capacity to positive SEI on cracks [A.h]
surface_form_algebraic,sei,Loss of lithium to negative SEI [mol]
surface_form_algebraic,sei,Loss of lithium to negative SEI on cracks [mol]
surface_form_algebraic,sei,Loss of lithium to positive SEI [mol]
surface_form_algebraic,sei,Loss of lithium to positive SEI on cracks [mol]
surface_form_algebraic,sei,Negative SEI concentration [mol.m-3]
surface_form_algebraic,sei,Negative SEI on cracks concentration [mol.m-3]
surface_form_algebraic,sei,Negative SEI on cracks thickness [m]
surface_form_algebraic,sei,Negative SEI thickness [m]
surface_form_algebraic,sei,Negative electrode SEI film overpotential [V]
surface_form_algebraic,sei,Negative electrode SEI interfacial current density [A.m-2]
surface_form_algebraic,sei,Negative electrode SEI on cracks interfacial current density [A.m-2]
surface_form_algebraic,sei,Negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_algebraic,sei,Negative electrode SEI volumetric interfacial current density [A.m-3]
surface_form_algebraic,sei,Positive SEI concentration [mol.m-3]
surface_form_algebraic,sei,Positive SEI on cracks concentration [mol.m-3]
surface_form_algebraic,sei,Positive SEI on cracks thickness [m]
surface_form_algebraic,sei,Positive SEI thickness [m]
surface_form_algebraic,sei,Positive electrode SEI film overpotential [V]
surface_form_algebraic,sei,Positive electrode SEI interfacial current density [A.m-2]
surface_form_algebraic,sei,Positive electrode SEI on cracks interfacial current density [A.m-2]
surface_form_algebraic,sei,Positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_algebraic,sei,Positive electrode SEI volumetric interfacial current density [A.m-3]
surface_form_algebraic,sei,Volume-averaged negative SEI concentration [mol.m-3]
surface_form_algebraic,sei,Volume-averaged negative SEI on cracks concentration [mol.m-3]
surface_form_algebraic,sei,Volume-averaged negative SEI on cracks thickness [m]
surface_form_algebraic,sei,Volume-averaged negative SEI thickness [m]
surface_form_algebraic,sei,Volume-averaged positive SEI concentration [mol.m-3]
surface_form_algebraic,sei,Volume-averaged positive SEI on cracks concentration [mol.m-3]
surface_form_algebraic,sei,Volume-averaged positive SEI on cracks thickness [m]
surface_form_algebraic,sei,Volume-averaged positive SEI thickness [m]
