condition,kappa,tau_label,DC,AC,f_Hz,ablation,A_dt,avg_dt,Q_window_lo,Q_window_hi,Q_CC_min_ablation,window_exceeds_ablation_CC,n_valid_points,x_n_Q20,x_n_Q80_if_in_CC,Q80_in_CC,x_n_CC_end,sign,sign_baseline,flipped_vs_baseline
0.9+0.1C 10τ,0.1111111111111111,10τ,0.9,0.1,0.00143,A2a,-537.93229036932,-0.21000561511648072,1025.0,3586.513843670099,3634.8100014653833,True,80,0.23082838508142442,,False,0.6961923160508683,-,-,False
0.9+0.1C 1τ,0.1111111111111111,1τ,0.9,0.1,0.0143,A2a,-52.92282830183871,-0.020714296554075445,1025.0,3579.8938224226777,3629.6768715791018,True,80,0.23255240742307484,,False,0.678759469971292,0,0,False
0.1+0.9C 1τ,9.0,1τ,0.1,0.9,0.0143,A2b,-3030.01263657368,-1.016159318532414,1025.0,4006.8283228950454,4058.6997102312685,False,80,0.22504905679878875,,False,0.7459550537950974,-,-,False
0.1+0.2C 1τ,2.0,1τ,0.1,0.2,0.0143,A2b,-1085.3373169383358,-0.3528404801490038,1025.0,4101.0,4771.817182018944,False,80,0.22009622641447915,0.7478060045113234,True,0.8631078782198357,-,-,False
0.2+0.3C 1τ,1.4999999999999998,1τ,0.2,0.3,0.0143,A2b,-920.3266726343022,-0.2991959273843635,1025.0,4101.0,4533.076418607437,False,80,0.22271858295840305,0.7487206189016384,True,0.8242071221517792,-,-,False
0.2+0.3C 10τ,1.4999999999999998,10τ,0.2,0.3,0.00143,A2b,-8777.251326540174,-2.853462719941539,1025.0,4101.0,4366.5596851113505,False,80,0.22336107475964326,0.7485899944971129,True,0.7978111194869356,-,-,False
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,0.2,0.3,0.00041,A2b,-25532.85646671619,-8.300668552248437,1025.0,4101.0,4344.053211119853,False,80,0.2252692765372696,0.7458650696196504,True,0.7943326526108133,-,-,False
0.2+0.8C 0.1τ,4.0,0.1τ,0.2,0.8,0.143,A2b,-1096.0521441005437,-0.367833641230392,1025.0,4004.749596677138,4054.9150740043237,False,80,0.22197194909062498,,False,0.7426931879759198,-,-,False
0.2+0.8C 1τ,4.0,1τ,0.2,0.8,0.0143,A2b,-1660.0245773383842,-0.5711106028619821,1025.0,3931.660406967712,3981.020653802719,True,80,0.22599202410157615,,False,0.7333724991962461,-,-,False
0.2+0.8C 10τ,4.0,10τ,0.2,0.8,0.00143,A2b,-9870.50034194574,-3.7456455922127945,1025.0,3660.1933462328984,3711.003981184193,False,80,0.2325533413690102,,False,0.6928169384251506,-,-,False
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.3,0.7,0.143,A2b,-679.2696282321738,-0.23462329942158205,1025.0,3920.149927167423,3970.0036755204114,True,80,0.22288284474612366,,False,0.729257064755176,-,-,False
0.3+0.7C 1τ,2.3333333333333335,1τ,0.3,0.7,0.0143,A2b,-1270.3845610421579,-0.4477234698030387,1025.0,3862.431242103574,3911.234682203789,True,80,0.22491223839206537,,False,0.7221200523547664,-,-,False
0.3+0.7C 10τ,2.3333333333333335,10τ,0.3,0.7,0.00143,A2b,-7869.535340134982,-3.0567867684974197,1025.0,3599.446939262072,3652.281954174444,False,80,0.23280430057823237,,False,0.683555107399941,-,-,False
0.3+0.4C 0.1τ,1.3333333333333337,0.1τ,0.3,0.4,0.143,A2b,-511.5013444597825,-0.16628782329641822,1025.0,4101.0,4168.306904860745,False,80,0.2223320413202859,0.7494990049189247,True,0.7612695427351651,-,-,False
0.3+0.4C 1τ,1.3333333333333337,1τ,0.3,0.4,0.0143,A2b,-897.2373468007017,-0.2945805247543738,1025.0,4070.813526025977,4122.122811527729,False,80,0.22179249301369278,0.7528073278166681,True,0.7557546802669403,-,-,False
0.3+0.4C 10τ,1.3333333333333337,10τ,0.3,0.4,0.00143,A2b,-6610.64704395187,-2.3035699156650034,1025.0,3894.740136384566,3945.588529112625,False,80,0.22792375421178748,,False,0.7289428958147728,-,-,False
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,0.4,0.6,0.0286,A2b,-577.6037565229215,-0.20647564418757897,1025.0,3822.4425690527455,3872.2973569006954,True,80,0.2270197418901426,,False,0.715011677441896,-,-,False
0.4+0.5C 1.67τ,1.25,1.67τ,0.4,0.5,0.0086,A2b,-1084.8772024176055,-0.39081486382296327,1025.0,3800.936390456859,3852.602441982397,False,80,0.22792448758865175,,False,0.7130644200265533,-,-,False
0.4+0.6C 1.67τ,1.4999999999999998,1.67τ,0.4,0.6,0.0086,A2b,-1230.9191874644637,-0.44554977010507607,1025.0,3787.6973910774777,3838.321753441468,False,80,0.2287043100874139,,False,0.7100824311253975,-,-,False
0.4+0.6C 5τ,1.4999999999999998,5τ,0.4,0.6,0.00286,A2b,-3442.502282270847,-1.2800015535862308,1025.0,3714.4516437310976,3765.1957668098457,False,80,0.22798193116086224,,False,0.6996981113185339,-,-,False
0.4+0.6C 10τ,1.4999999999999998,10τ,0.4,0.6,0.00143,A2b,-6530.697065485674,-2.5213147230355486,1025.0,3615.195109646213,3665.5191482341284,False,80,0.23303621074241304,,False,0.685421339504217,-,-,False
0.5+0.5C 1τ,1.0,1τ,0.5,0.5,0.0143,A2b,-570.4566956874105,-0.2116301023321356,1025.0,3720.536643421959,3811.259048221513,False,80,0.2220362714216167,,False,0.7056827409146273,-,-,False
0.9+0.1C 16.7τ,0.1111111111111111,16.7τ,0.9,0.1,0.00086,A2b,-791.9511406472957,-0.3099036750679015,1025.0,3580.475150379469,3628.9384292825475,True,80,0.23352889218882225,,False,0.6788354594244198,-,-,False
0.9+0.1C 1.67τ,0.1111111111111111,1.67τ,0.9,0.1,0.0086,A2b,-82.12223272984141,-0.03270589815661392,1025.0,3535.9303629759615,3584.6930495104166,True,80,0.23223450884301566,,False,0.6716607223452079,0,0,False
0.9+0.1C 10τ,0.1111111111111111,10τ,0.9,0.1,0.00143,A2b,-537.1704470879977,-0.20970819596209866,1025.0,3586.513843670099,3633.865882481143,True,80,0.23082838508333128,,False,0.6961796540486354,-,-,False
0.9+0.1C 1τ,0.1111111111111111,1τ,0.9,0.1,0.0143,A2b,-52.15499322885892,-0.020413761531351216,1025.0,3579.8938224226777,3629.5400846310686,True,80,0.2325524078077886,,False,0.6786642344522144,0,0,False
