parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,delta_t_model_s,delta_t_model_min,delta_t_geom_s,delta_t_geom_min,delta_t_resid_s,delta_t_resid_min,q_window_lo_Ah,q_window_hi_Ah,q_margin_Ah,dt_geom_resolution_s
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.8552401507678677,0.37104803015357357,0.42104803015357356,144.46242796740626,2.407707132790104,144.46339550749508,2.4077232584582515,-0.0009675400888227159,-1.6125668147045265e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.890344953783225,0.378068990756645,0.428068990756645,202.34503487166785,3.3724172478611307,202.34620168328183,3.372436694721364,-0.0011668116139844642,-1.9446860233074403e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.9254497567985824,0.38508995135971646,0.43508995135971645,261.1815970603584,4.35302661767264,261.18371846245464,4.353061974374244,-0.0021214020962361246,-3.535670160393541e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.9605545598139398,0.39211091196278797,0.44211091196278796,319.98305244062976,5.333050874010496,319.986350636771,5.333105843946184,-0.0032981961412588134,-5.496993568764689e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.9956593628292971,0.3991318725658594,0.4491318725658594,377.7484659930142,6.2958077665502366,377.75224242254444,6.295870707042408,-0.0037764295302622486,-6.294049217103748e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.0307641658446545,0.4061528331689309,0.4561528331689309,433.0599958646453,7.217666597744088,433.06674189339356,7.217779031556559,-0.006746028748239041,-0.00011243381247065069,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.065868968860012,0.41317379377200236,0.46317379377200235,483.067405436459,8.051123423940984,483.077608962617,8.051293482710284,-0.010203526157965825,-0.00017005876929943042,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.100973771875369,0.4201947543750738,0.4701947543750738,517.2617684557308,8.62102947426218,517.2824824728486,8.621374707880811,-0.02071401711782528,-0.0003452336186304213,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.1360785748907265,0.4272157149781453,0.4772157149781453,128.70657485815536,2.145109580969256,128.70736374848275,2.145122729141379,-0.0007888903273851611,-1.3148172123086017e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.171183377906084,0.43423667558121676,0.48423667558121675,186.11142383968672,3.1018570639947787,186.1121417391787,3.101869028986312,-0.0007178994919740944,-1.1964991532901573e-05,0.1,4.277471558827524,0.1,0.25
