parameter_set,model_type,condition,keyword,variable_key
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,X-averaged electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,X-averaged negative electrolyte concentration [Molar]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,X-averaged negative electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,X-averaged positive electrolyte concentration [Molar]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,X-averaged positive electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,X-averaged separator electrolyte concentration [Molar]
Chen2020,DFN,DC03_AC07_10tau,electrolyte concentration,X-averaged separator electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_10tau,overpotential,Battery negative particle concentration overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,Battery particle concentration overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,Battery positive particle concentration overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,Contact overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,Negative electrode SEI film overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,Negative electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,Negative electrode reaction overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,Negative particle concentration overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,Particle concentration overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,Positive electrode SEI film overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,Positive electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,Positive electrode reaction overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,Positive particle concentration overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,X-averaged SEI film overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,X-averaged battery concentration overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,X-averaged battery negative reaction overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,X-averaged battery positive reaction overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,X-averaged battery reaction overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,X-averaged concentration overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,X-averaged electrolyte overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,X-averaged negative electrode SEI film overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,X-averaged negative electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,X-averaged negative electrode reaction overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,X-averaged positive electrode SEI film overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,X-averaged positive electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,X-averaged positive electrode reaction overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,overpotential,X-averaged reaction overpotential [V]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Interfacial current density [A.m-2]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Negative electrode SEI interfacial current density [A.m-2]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Negative electrode SEI on cracks interfacial current density [A.m-2]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Negative electrode SEI volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Negative electrode interfacial current density [A.m-2]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Negative electrode lithium plating interfacial current density [A.m-2]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Negative electrode lithium plating volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Negative electrode volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Positive electrode SEI interfacial current density [A.m-2]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Positive electrode SEI on cracks interfacial current density [A.m-2]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Positive electrode SEI volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Positive electrode interfacial current density [A.m-2]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Positive electrode lithium plating interfacial current density [A.m-2]
Chen2020,DFN,DC03_AC07_10tau,interfacial current,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
