protocol_pair,Q_Ah,dt_resid_s,fp_err_DC_s,fp_err_DCAC_s,residual_reconstructed_s,reconstruction_error_s
0.3C DC vs 0.3C+0.7C 0.1tau,1.62,-4.582619084699218,0.5992866041733578,5.181905688872575,-4.582619084699218,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.63,-4.383943096981966,0.6030853347165248,4.987028431697581,-4.383943096981056,-9.094947017729282e-13
0.3C DC vs 0.3C+0.7C 0.1tau,1.64,-0.1807002578207175,0.606906053540115,0.7876063113608325,-0.18070025782071752,2.7755575615628914e-17
0.3C DC vs 0.3C+0.7C 0.1tau,1.65,-0.1218898008773976,0.6108074367548397,0.7326972376331469,-0.12188980087830714,9.095363351363517e-13
0.3C DC vs 0.3C+0.7C 0.1tau,1.66,-0.0721212368252963,0.6147015182041287,0.686822755029425,-0.07212123682529636,6.938893903907228e-17
0.3C DC vs 0.3C+0.7C 0.1tau,1.6700000000000002,-0.0276629952604707,0.6184625221303577,0.6461255173908285,-0.02766299526047078,7.979727989493313e-17
0.3C DC vs 0.3C+0.7C 0.1tau,1.6800000000000002,0.0046506194330504,0.6223051474735257,0.6176545280404753,0.004650619433050451,-5.117434254131581e-17
0.3C DC vs 0.3C+0.7C 0.1tau,1.6900000000000002,0.0350400739353062,0.6261176279776919,0.5910775540423856,0.03504007393530628,-8.326672684688674e-17
0.3C DC vs 0.3C+0.7C 0.1tau,1.7000000000000002,0.0510624364032992,0.6298432086605317,0.5787807722572325,0.051062436403299216,-1.3877787807814457e-17
0.3C DC vs 0.3C+0.7C 0.1tau,1.7100000000000002,0.056288480067451,0.6337371221434296,0.5774486420759786,0.05628848006745102,-2.0816681711721685e-17
0.3C DC vs 0.3C+0.7C 0.1tau,1.72,0.0430695433287837,0.6376271667641049,0.5945576234353211,0.043069543328783766,-6.245004513516506e-17
0.3C DC vs 0.3C+0.7C 0.1tau,1.73,0.0131112905728514,0.6414967977261767,0.6283855071533253,0.01311129057285143,-3.122502256758253e-17
0.3C DC vs 0.3C+0.7C 0.1tau,1.74,-0.0542779218567375,0.6453806138006257,0.6996585356573632,-0.05427792185673752,2.0816681711721685e-17
0.3C DC vs 0.3C+0.7C 0.1tau,1.75,-4.287247766263135,0.649130675887136,4.936378442150271,-4.287247766263135,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.76,-4.232736743379974,0.6529778794019876,4.885714622781961,-4.232736743379974,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.77,-4.147811408366579,0.656763243817295,4.804574652183874,-4.147811408366579,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.78,-4.01663803721749,0.660668219668878,4.677306256886368,-4.01663803721749,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.79,-3.82656282600783,0.6644377978227567,4.491000623830587,-3.82656282600783,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.8,0.4014927448042726,0.6684022852450653,0.2669095404407926,0.40149274480427266,-5.551115123125783e-17
0.3C DC vs 0.3C+0.7C 0.1tau,1.81,0.4734672896584015,0.6722537706164076,0.198786480958006,0.47346728965840157,-5.551115123125783e-17
0.3C DC vs 0.3C+0.7C 0.1tau,1.82,0.5183514732761978,0.6758489297390042,0.15749745646280644,0.5183514732761978,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.83,0.5603849440758495,0.6793685598586308,0.11898361578278127,0.5603849440758495,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.84,0.5877036905421846,0.6831018399107052,0.09539814936852054,0.5877036905421846,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.85,0.6018750420635115,0.6867900494107744,0.08491500734726287,0.6018750420635115,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.86,0.5919544851485625,0.690483631965435,0.09852914681687253,0.5919544851485625,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.87,0.5418992870691,0.6941991790481552,0.15229989197905525,0.5418992870691,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.88,0.4101715552469613,0.6977929756558297,0.2876214204079588,0.41017155524787086,-9.095502129241595e-13
0.3C DC vs 0.3C+0.7C 0.1tau,1.89,0.1123139329838522,0.7014279427066867,0.589114009721925,0.11231393298476178,-9.095779684997751e-13
0.3C DC vs 0.3C+0.7C 0.1tau,1.9,-3.7758129362628097,0.7048342284915634,4.480647164755283,-3.775812936263719,9.094947017729282e-13
0.3C DC vs 0.3C+0.7C 0.1tau,1.91,-3.748596041624296,0.708737873615064,4.45733391523936,-3.748596041624296,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.92,-3.6968119954426584,0.7125949028586547,4.409406898301313,-3.6968119954426584,0.0
