protocol_pair,Q_Ah,dt_raw_s,dt_geom_s,dt_resid_s,abs_resid_s,t_DCAC_s,t_geom_DCAC_s,T_AC_s,geometry_phase_offset_rad,geom_prev_max_Q_Ah,geom_prev_max_time_s,geom_prev_max_deficit_mAh,geom_prev_max_lead_time_s,near_miss_deficit_le_1mAh,branch_jump_time_ge_0p25TAC,branch_jump_artifact_candidate
0.3C DC vs 0.3C+0.7C 0.1tau,2.23,-1.2739982100756606,1.3814046511088236,-2.655402861184484,2.655402861184484,7872.688266142363,7869.20683064192,6.974335690969341,0.1162389281828226,2.229207323799298,7868.299999999999,0.7926762007017807,0.9068306419203509,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.48,1.203735777059137,3.856260536688296,-2.6525247596291592,2.6525247596291592,1693.1059007210838,1690.2613865220756,6.974335690969341,0.1162389281828226,0.4796794182196909,1689.8000000000002,0.3205817803090816,0.46138652207537234,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.95,-0.2646406777848824,2.373386871911407,-2.6380275496962895,2.6380275496962895,3353.5651315114296,3350.567789598785,6.974335690969341,0.1162389281828226,0.9499793657102232,3350.5,0.020634289776721992,0.0677895987851116,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.24,-0.9564368386945716,1.6542158105903582,-2.61065264928493,2.61065264928493,7907.668656004527,7904.228137129487,6.974335690969341,0.1162389281828226,2.239200077338422,7903.299999999999,0.799922661578023,0.9281371294873679,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.49,1.4947607577196322,4.09557985398601,-2.6008190962663775,2.6008190962663775,1728.112510242113,1725.3161848518337,6.974335690969341,0.1162389281828226,0.48966836331349894,1724.8000000000002,0.3316366865010467,0.5161848518334864,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.46,1.204213818822609,-1.3692463024108292,2.5734601212334383,2.5734601212334383,8682.063085860698,8683.722187477564,6.974335690969341,0.1162389281828226,2.4599797036332376,8680.3,0.020296366762373452,3.4221874775648757,True,True,True
0.3C DC vs 0.3C+0.7C 0.1tau,2.1199999999999997,-0.118197894136756,2.449007987170262,-2.567205881307018,2.567205881307018,7483.255647454111,7479.90393318832,6.974335690969341,0.1162389281828226,2.1198139930424094,7479.299999999999,0.18600695759030117,0.6039331883202976,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.25,-0.6411984705418945,1.9199922208536009,-2.5611906913954954,2.5611906913954954,7942.651367715334,7939.256478366274,6.974335690969341,0.1162389281828226,2.2491947635216722,7938.299999999999,0.8052364783277532,0.9564783662744958,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.5,1.7979483974861523,4.313325878760907,-2.5153774812747542,2.5153774812747542,1763.106870342718,1760.3925564741146,6.974335690969341,0.1162389281828226,0.49965315526580023,1759.8000000000002,0.34684473419976936,0.5925564741144171,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.26,-0.3260955582900351,2.1764558645463694,-2.5025514228364045,2.5025514228364045,7977.634186562095,7974.294132369629,6.974335690969341,0.1162389281828226,2.259190340816786,7973.299999999999,0.8096591832136291,0.9941323696293694,True,False,False
